token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
11606,GUFICBIO-EQ,GUFICBIO,,-1,1,,NSE,5
11647,KOTARISUG-EQ,KOTARISUG,,-1,1,,NSE,1
11731,CONSOFINVT-EQ,CONSOFINVT,,-1,1,,NSE,1
11896,GEOJITFSL-EQ,GEOJITFSL,,-1,1,,NSE,1
12101,HDFCNIFIT-EQ,HDFCNIFIT,,-1,1,,NSE,1
1214,DELTAMAGNT-EQ,DELTAMAGNT,,-1,1,,NSE,1
12124,DOLATALGO-EQ,DOLATALGO,,-1,1,,NSE,1
10243,SYNGENE-EQ,SYNGENE,,-1,1,,NSE,5
10508,MOHEALTH-EQ,MOHEALTH,,-1,1,,NSE,1
10515,UTISENSETF-EQ,UTISENSETF,,-1,1,,NSE,1
10604,BHARTIARTL-EQ,BHARTIARTL,,-1,1,,NSE,10
10822,MOQUALITY-EQ,MOQUALITY,,-1,1,,NSE,1
10925,GODREJIND-EQ,GODREJIND,,-1,1,,NSE,10
10940,DIVISLAB-EQ,DIVISLAB,,-1,1,,NSE,50
11060,KSOLVES-EQ,KSOLVES,,-1,1,,NSE,5
11220,VARDHACRLC-EQ,VARDHACRLC,,-1,1,,NSE,1
11301,LUXIND-EQ,LUXIND,,-1,1,,NSE,10
11359,DHANBANK-EQ,DHANBANK,,-1,1,,NSE,1
11374,TIPSFILMS-EQ,TIPSFILMS,,-1,1,,NSE,5
11403,POONAWALLA-EQ,POONAWALLA,,-1,1,,NSE,5
1145,GIPCL-EQ,GIPCL,,-1,1,,NSE,1
1164,NEWGEN-EQ,NEWGEN,,-1,1,,NSE,5
11703,ALKEM-EQ,ALKEM,,-1,1,,NSE,50
11705,XCHANGING-EQ,XCHANGING,,-1,1,,NSE,1
11779,ACEINTEG-EQ,ACEINTEG,,-1,1,,NSE,1
11860,JKPAPER-EQ,JKPAPER,,-1,1,,NSE,5
12000,FAZE3Q-EQ,FAZE3Q,,-1,1,,NSE,5
12716,TEAMLEASE-EQ,TEAMLEASE,,-1,1,,NSE,10
12847,KRISHANA-EQ,KRISHANA,,-1,1,,NSE,5
1289,GFLLIMITED-EQ,GFLLIMITED,,-1,1,,NSE,1
13061,360ONE-EQ,360ONE,,-1,1,,NSE,10
13111,ORIENTCER-EQ,ORIENTCER,,-1,1,,NSE,1
13162,CELEBRITY-EQ,CELEBRITY,,-1,1,,NSE,1
13275,INDOTECH-EQ,INDOTECH,,-1,1,,NSE,10
13285,M&MFIN-EQ,M&MFIN,,-1,1,,NSE,5
13300,NITCO-EQ,NITCO,,-1,1,,NSE,1
13404,SUNTV-EQ,SUNTV,,-1,1,,NSE,5
13565,RAMANEWS-EQ,RAMANEWS,,-1,1,,NSE,1
13750,FLUOROCHEM-EQ,FLUOROCHEM,,-1,1,,NSE,10
13810,GREENPANEL-EQ,GREENPANEL,,-1,1,,NSE,5
13839,DONEAR-EQ,DONEAR,,-1,1,,NSE,1
14014,LUMAXTECH-EQ,LUMAXTECH,,-1,1,,NSE,10
14096,SIYSIL-EQ,SIYSIL,,-1,1,,NSE,5
14111,NETWORK18-EQ,NETWORK18,,-1,1,,NSE,1
14154,UNOMINDA-EQ,UNOMINDA,,-1,1,,NSE,10
14413,PAGEIND-EQ,PAGEIND,,-1,1,,NSE,500
14667,KMSUGAR-EQ,KMSUGAR,,-1,1,,NSE,1
14732,DLF-EQ,DLF,,-1,1,,NSE,5
14742,AXSENSEX-EQ,AXSENSEX,,-1,1,,NSE,1
14753,031NSETEST-EQ,031NSETEST,,-1,1,,NSE,5
14755,041NSETEST-EQ,041NSETEST,,-1,1,,NSE,5
14778,131NSETEST-EQ,131NSETEST,,-1,1,,NSE,5
14788,SPARC-EQ,SPARC,,-1,1,,NSE,1
14894,CENTRALBK-EQ,CENTRALBK,,-1,1,,NSE,1
14912,KPRMILL-EQ,KPRMILL,,-1,1,,NSE,5
14917,TAKE-EQ,TAKE,,-1,1,,NSE,1
14937,CIEINDIA-EQ,CIEINDIA,,-1,1,,NSE,5
15068,RELIGARE-EQ,RELIGARE,,-1,1,,NSE,1
15119,EDELWEISS-EQ,EDELWEISS,,-1,1,,NSE,1
15146,JYOTHYLAB-EQ,JYOTHYLAB,,-1,1,,NSE,5
15180,KIRLPNU-EQ,KIRLPNU,,-1,1,,NSE,10
15244,KAVDEFENCE-EQ,KAVDEFENCE,,-1,1,,NSE,1
15283,KNRCON-EQ,KNRCON,,-1,1,,NSE,1
15377,PDMJEPAPER-EQ,PDMJEPAPER,,-1,1,,NSE,1
15391,RACE-EQ,RACE,,-1,1,,NSE,1
1621,TATAINVEST-EQ,TATAINVEST,,-1,1,,NSE,50
16639,KIRIINDUS-EQ,KIRIINDUS,,-1,1,,NSE,5
16682,PTCIL-EQ,PTCIL,,-1,1,,NSE,100
16696,GHCLTEXTIL-EQ,GHCLTEXTIL,,-1,1,,NSE,1
16713,UBL-EQ,UBL,,-1,1,,NSE,10
16863,LPDC-EQ,LPDC,,-1,1,,NSE,1
16913,ARTEMISMED-EQ,ARTEMISMED,,-1,1,,NSE,1
16921,20MICRONS-EQ,20MICRONS,,-1,1,,NSE,1
17022,MAWANASUG-EQ,MAWANASUG,,-1,1,,NSE,1
17263,ARMANFIN-EQ,ARMANFIN,,-1,1,,NSE,10
17270,ASPINWALL-EQ,ASPINWALL,,-1,1,,NSE,5
17419,BANKETF-EQ,BANKETF,,-1,1,,NSE,1
17424,GLOBUSSPR-EQ,GLOBUSSPR,,-1,1,,NSE,10
17486,EXPLEOSOL-EQ,EXPLEOSOL,,-1,1,,NSE,10
17603,MAHEPC-EQ,MAHEPC,,-1,1,,NSE,1
17722,DEN-EQ,DEN,,-1,1,,NSE,1
17795,TREL-EQ,TREL,,-1,1,,NSE,1
18011,WHIRLPOOL-EQ,WHIRLPOOL,,-1,1,,NSE,10
1802,JYOTISTRUC-EQ,JYOTISTRUC,,-1,1,,NSE,1
18029,MBLINFRA-EQ,MBLINFRA,,-1,1,,NSE,1
18118,THANGAMAYL-EQ,THANGAMAYL,,-1,1,,NSE,10
18131,YASHO-EQ,YASHO,,-1,1,,NSE,10
18208,ORIENTLTD-EQ,ORIENTLTD,,-1,1,,NSE,1
18423,RATNAVEER-EQ,RATNAVEER,,-1,1,,NSE,1
18652,ICICIPRULI-EQ,ICICIPRULI,,-1,1,,NSE,5
18883,SJVN-EQ,SJVN,,-1,1,,NSE,1
19015,MVGJL-EQ,MVGJL,,-1,1,,NSE,1
19235,IMFA-EQ,IMFA,,-1,1,,NSE,5
19233,AARTISURF-EQ,AARTISURF,,-1,1,,NSE,5
19458,PLAZACABLE-EQ,PLAZACABLE,,-1,1,,NSE,1
19496,SECMARK-EQ,SECMARK,,-1,1,,NSE,1
19599,PRAKASHSTL-EQ,PRAKASHSTL,,-1,1,,NSE,1
19631,PRICOLLTD-EQ,PRICOLLTD,,-1,1,,NSE,5
19761,ADFFOODS-EQ,ADFFOODS,,-1,1,,NSE,1
19933,EGOLD-EQ,EGOLD,,-1,1,,NSE,5
19937,KILITCH-EQ,KILITCH,,-1,1,,NSE,5
20071,INTENTECH-EQ,INTENTECH,,-1,1,,NSE,1
20110,GREENPOWER-EQ,GREENPOWER,,-1,1,,NSE,1
20257,ESILVER-EQ,ESILVER,,-1,1,,NSE,1
20302,PRESTIGE-EQ,PRESTIGE,,-1,1,,NSE,10
20322,FEDFINA-EQ,FEDFINA,,-1,1,,NSE,1
2043,RAMCOCEM-EQ,RAMCOCEM,,-1,1,,NSE,10
20616,SUPERHOUSE-EQ,SUPERHOUSE,,-1,1,,NSE,1
20822,SURAJEST-EQ,SURAJEST,,-1,1,,NSE,5
2085,MAHSCOOTER-EQ,MAHSCOOTER,,-1,1,,NSE,100
20950,RKDL-EQ,RKDL,,-1,1,,NSE,1
2112,MARALOVER-EQ,MARALOVER,,-1,1,,NSE,1
21195,GTPL-EQ,GTPL,,-1,1,,NSE,1
21423,MOM100-EQ,MOM100,,-1,1,,NSE,1
21478,UTINEXT50-EQ,UTINEXT50,,-1,1,,NSE,1
21484,STEL-EQ,STEL,,-1,1,,NSE,5
21623,APEX-EQ,APEX,,-1,1,,NSE,1
21690,DIXON-EQ,DIXON,,-1,1,,NSE,100
21986,BANKBETF-EQ,BANKBETF,,-1,1,,NSE,1
22365,ITIETF-EQ,ITIETF,,-1,1,,NSE,1
22663,JSFB-EQ,JSFB,,-1,1,,NSE,5
22739,MON100-EQ,MON100,,-1,1,,NSE,1
22947,EXICOM-EQ,EXICOM,,-1,1,,NSE,1
23175,KRYSTAL-EQ,KRYSTAL,,-1,1,,NSE,5
23590,GLOSTERLTD-EQ,GLOSTERLTD,,-1,1,,NSE,5
23806,ABSLPSE-EQ,ABSLPSE,,-1,1,,NSE,1
2412,PEL-EQ,PEL,,-1,1,,NSE,10
24184,PIIND-EQ,PIIND,,-1,1,,NSE,10
24226,STANLEY-EQ,STANLEY,,-1,1,,NSE,5
13198,COMMOIETF-EQ,COMMOIETF,,-1,1,,NSE,1
13270,JKCEMENT-EQ,JKCEMENT,,-1,1,,NSE,50
13310,KEI-EQ,KEI,,-1,1,,NSE,10
1336,HEG-EQ,HEG,,-1,1,,NSE,5
13342,VAKRANGEE-EQ,VAKRANGEE,,-1,1,,NSE,1
13496,PFOCUS-EQ,PFOCUS,,-1,1,,NSE,1
13501,ALLCARGO-EQ,ALLCARGO,,-1,1,,NSE,1
13511,MUNJALAU-EQ,MUNJALAU,,-1,1,,NSE,1
13648,TALBROAUTO-EQ,TALBROAUTO,,-1,1,,NSE,5
13675,NRL-EQ,NRL,,-1,1,,NSE,1
13688,ACLGATI-EQ,ACLGATI,,-1,1,,NSE,1
13814,KAMOPAINTS-EQ,KAMOPAINTS,,-1,1,,NSE,1
13859,VENUSREM-EQ,VENUSREM,,-1,1,,NSE,5
13870,KUANTUM-EQ,KUANTUM,,-1,1,,NSE,1
13966,HBLENGINE-EQ,HBLENGINE,,-1,1,,NSE,5
13976,TANLA-EQ,TANLA,,-1,1,,NSE,5
13987,ABSLBANETF-EQ,ABSLBANETF,,-1,1,,NSE,1
14008,AVTNPL-EQ,AVTNPL,,-1,1,,NSE,1
14116,GANDHITUBE-EQ,GANDHITUBE,,-1,1,,NSE,5
1424,HINDZINC-EQ,HINDZINC,,-1,1,,NSE,5
14385,POCL-EQ,POCL,,-1,1,,NSE,10
14428,GOLDBEES-EQ,GOLDBEES,,-1,1,,NSE,1
14535,GOLDSHARE-EQ,GOLDSHARE,,-1,1,,NSE,5
1467,AKZOINDIA-EQ,AKZOINDIA,,-1,1,,NSE,10
14767,081NSETEST-EQ,081NSETEST,,-1,1,,NSE,5
14786,LOWVOL-EQ,LOWVOL,,-1,1,,NSE,1
14793,MEGASOFT-EQ,MEGASOFT,,-1,1,,NSE,1
14853,OMAXE-EQ,OMAXE,,-1,1,,NSE,1
14957,MAGNUM-EQ,MAGNUM,,-1,1,,NSE,1
15214,DVL-EQ,DVL,,-1,1,,NSE,5
15234,AMBIKCO-EQ,AMBIKCO,,-1,1,,NSE,10
15295,VIRINCHI-EQ,VIRINCHI,,-1,1,,NSE,1
15419,DPSCLTD-EQ,DPSCLTD,,-1,1,,NSE,1
1547,RKEC-EQ,RKEC,,-1,1,,NSE,1
1594,INFY-EQ,INFY,,-1,1,,NSE,10
1630,IONEXCHANG-EQ,IONEXCHANG,,-1,1,,NSE,5
166,ANDHRAPAP-EQ,ANDHRAPAP,,-1,1,,NSE,1
16589,VAISHALI-EQ,VAISHALI,,-1,1,,NSE,1
16658,SIGMA-EQ,SIGMA,,-1,1,,NSE,5
16683,DIGISPICE-EQ,DIGISPICE,,-1,1,,NSE,1
16705,GOKUL-EQ,GOKUL,,-1,1,,NSE,1
1681,IVP-EQ,IVP,,-1,1,,NSE,1
16900,DPWIRES-EQ,DPWIRES,,-1,1,,NSE,1
17152,MIDCAPIETF-EQ,MIDCAPIETF,,-1,1,,NSE,1
17271,SENCO-EQ,SENCO,,-1,1,,NSE,5
17388,ADANIPOWER-EQ,ADANIPOWER,,-1,1,,NSE,5
17438,OIL-EQ,OIL,,-1,1,,NSE,5
17475,NV20IETF-EQ,NV20IETF,,-1,1,,NSE,1
17520,RTNPOWER-EQ,RTNPOWER,,-1,1,,NSE,1
17527,MAHASTEEL-EQ,MAHASTEEL,,-1,1,,NSE,5
17616,PSUBANKADD-EQ,PSUBANKADD,,-1,1,,NSE,1
17738,YATHARTH-EQ,YATHARTH,,-1,1,,NSE,5
17752,SHILPAMED-EQ,SHILPAMED,,-1,1,,NSE,5
17770,GROBTEA-EQ,GROBTEA,,-1,1,,NSE,10
17922,GEEKAYWIRE-EQ,GEEKAYWIRE,,-1,1,,NSE,1
17939,HINDCOPPER-EQ,HINDCOPPER,,-1,1,,NSE,1
17963,NESTLEIND-EQ,NESTLEIND,,-1,1,,NSE,10
18119,SRGHFL-EQ,SRGHFL,,-1,1,,NSE,5
18252,SPAL-EQ,SPAL,,-1,1,,NSE,5
18347,NIFMID150-EQ,NIFMID150,,-1,1,,NSE,1
18391,RBLBANK-EQ,RBLBANK,,-1,1,,NSE,5
18457,POWERINDIA-EQ,POWERINDIA,,-1,1,,NSE,100
18581,KIRLOSBROS-EQ,KIRLOSBROS,,-1,1,,NSE,10
18659,MARATHON-EQ,MARATHON,,-1,1,,NSE,5
18827,TARAPUR-EQ,TARAPUR,,-1,1,,NSE,1
18863,VERTOZ-EQ,VERTOZ,,-1,1,,NSE,1
18908,PNBHOUSING-EQ,PNBHOUSING,,-1,1,,NSE,5
19,STYRENIX-EQ,STYRENIX,,-1,1,,NSE,10
1927,LIQUIDETF-EQ,LIQUIDETF,,-1,1,,NSE,1
19184,SFL-EQ,SFL,,-1,1,,NSE,5
19372,SPCENET-EQ,SPCENET,,-1,1,,NSE,1
19401,BOROLTD-EQ,BOROLTD,,-1,1,,NSE,5
19531,BAJAJCON-EQ,BAJAJCON,,-1,1,,NSE,1
19585,BSE-EQ,BSE,,-1,1,,NSE,10
19813,HONASA-EQ,HONASA,,-1,1,,NSE,5
20178,AKSHARCHEM-EQ,AKSHARCHEM,,-1,1,,NSE,5
20261,IREDA-EQ,IREDA,,-1,1,,NSE,1
20531,BAJEL-EQ,BAJEL,,-1,1,,NSE,1
20560,DOLLAR-EQ,DOLLAR,,-1,1,,NSE,5
20854,HAPPYFORGE-EQ,HAPPYFORGE,,-1,1,,NSE,5
21174,CDSL-EQ,CDSL,,-1,1,,NSE,10
21238,AUBANK-EQ,AUBANK,,-1,1,,NSE,5
21254,LOWVOLIETF-EQ,LOWVOLIETF,,-1,1,,NSE,1
2142,MFSL-EQ,MFSL,,-1,1,,NSE,10
21339,STEELXIND-EQ,STEELXIND,,-1,1,,NSE,1
2144,BDL-EQ,BDL,,-1,1,,NSE,10
21427,THEINVEST-EQ,THEINVEST,,-1,1,,NSE,1
21428,TATSILV-EQ,TATSILV,,-1,1,,NSE,1
21508,COCHINSHIP-EQ,COCHINSHIP,,-1,1,,NSE,10
2168,RAJMET-EQ,RAJMET,,-1,1,,NSE,1
21750,LIQUIDCASE-EQ,LIQUIDCASE,,-1,1,,NSE,1
22239,EBBETF0431-EQ,EBBETF0431,,-1,1,,NSE,1
22255,NDRAUTO-EQ,NDRAUTO,,-1,1,,NSE,10
22360,MCL-EQ,MCL,,-1,1,,NSE,1
22423,TOTAL-EQ,TOTAL,,-1,1,,NSE,1
2289,HLEGLAS-EQ,HLEGLAS,,-1,1,,NSE,5
23027,LANCORHOL-EQ,LANCORHOL,,-1,1,,NSE,1
23056,JGCHEM-EQ,JGCHEM,,-1,1,,NSE,5
23066,GOPAL-EQ,GOPAL,,-1,1,,NSE,5
2388,NELCO-EQ,NELCO,,-1,1,,NSE,5
24225,RELAXO-EQ,RELAXO,,-1,1,,NSE,5
24321,VRAJ-EQ,VRAJ,,-1,1,,NSE,1
13072,IIFLCAPS-EQ,IIFLCAPS,,-1,1,,NSE,5
13126,REPRO-EQ,REPRO,,-1,1,,NSE,5
